,Year,Country Name,Country Code,Life Expectancy at birth (total years),"Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Weighted World Death
160,2016,Cameroon,CMR,0.6872610692664569,0.6153846153846154,0.6349557522123893,0.6462010744435916,-5.033179715914309
161,2017,Cameroon,CMR,0.692563808687971,0.5930880713489409,0.6194690265486725,0.6185725249424404,-4.826309513425691
162,2018,Cameroon,CMR,0.6974167621764102,0.5719063545150501,0.6061946902654867,0.5932463545663852,-4.6379654359156905
163,2019,Cameroon,CMR,0.7018080932598516,0.556298773690078,0.5929203539823009,0.5732924021488871,-4.482720124662755
164,2020,Cameroon,CMR,0.7061994243432929,0.5384615384615384,0.579646017699115,0.5541059094397544,-4.326085343436146
165,2016,Canada,CAN,0.9694070504955449,0.05128205128205127,0.07743362831858407,0.040675364543361466,0.4718406048022443
166,2017,Canada,CAN,0.9694070504955449,0.05128205128205127,0.07522123893805309,0.039907904834996163,0.48154761177729843
167,2018,Canada,CAN,0.9711680865621412,0.05016722408026756,0.07300884955752211,0.03914044512663085,0.49524530922251636
168,2019,Canada,CAN,0.9711680865621412,0.04905239687848384,0.07300884955752211,0.03914044512663085,0.4974749636260838
169,2020,Canada,CAN,0.97175509858434,0.04905239687848384,0.07079646017699115,0.03837298541826554,0.5077689826233367
170,2016,Caribbean small states,CSS,0.8687491959909779,0.17698445913377145,0.264175293444584,0.1409150841767759,-0.8414059393174207
171,2017,Caribbean small states,CSS,0.8701877056478428,0.17189095892455294,0.25598507918640706,0.13678203437538985,-0.7886775872620438
172,2018,Caribbean small states,CSS,0.8716035409881935,0.16681037338235116,0.24758483345428095,0.13266064814422945,-0.7354142987162695
173,2019,Caribbean small states,CSS,0.8729958181666286,0.16388090975167557,0.2394235551033894,0.13206697036852186,-0.7013045481209781
174,2020,Caribbean small states,CSS,0.8744113588918456,0.15663268870501001,0.23158616304014157,0.12463987859189254,-0.6321720220061693
175,2016,Central African Republic,CAF,0.6106790959245012,0.9542920847268672,0.922566371681416,0.9071373752877974,-7.69415368972467
176,2017,Central African Republic,CAF,0.6183372932586968,0.9342251950947602,0.9070796460176991,0.8787413660782808,-7.486317499297043
177,2018,Central African Republic,CAF,0.6250248998952045,0.9096989966555183,0.8893805309734514,0.8526477359938602,-7.273105630311627
178,2019,Central African Republic,CAF,0.6306827334744092,0.8818283166109252,0.8761061946902655,0.8181120491174212,-7.033740680287922
179,2020,Central African Republic,CAF,0.6384001131682199,0.8639910813823857,0.8584070796460176,0.7904834996162701,-6.826737286999685
180,2016,Central Europe and the Baltics,CEB,0.911051011759921,0.05133560493700479,0.06442444354001216,0.0419311054428264,0.44738204949456933
181,2017,Central Europe and the Baltics,CEB,0.9107862443516909,0.04902332334782608,0.06159702329643185,0.04012356759498196,0.4674542573868153
182,2018,Central Europe and the Baltics,CEB,0.911134000397085,0.046969074672058866,0.06001967593901129,0.03849493852846277,0.48315706912208234
183,2019,Central Europe and the Baltics,CEB,0.9131140082387695,0.04518184282417369,0.058497151415796894,0.03722988661074866,0.4983393219000368
184,2020,Central Europe and the Baltics,CEB,0.9138016737317192,0.043774642964554404,0.058280038002831415,0.03642148286919723,0.5057263423173272
185,2016,Chad,TCD,0.6325173866224777,0.826086956521739,0.7743362831858407,0.9585571757482731,-7.176894078971614
186,2017,Chad,TCD,0.635760579929386,0.8071348940914159,0.7632743362831858,0.9293937068303912,-6.985907044424569
187,2018,Chad,TCD,0.6388972449889868,0.7881828316610925,0.747787610619469,0.9002302379125094,-6.781752201841643
188,2019,Chad,TCD,0.6419984006328188,0.7692307692307692,0.736725663716814,0.8710667689946278,-6.590907204957674
189,2020,Chad,TCD,0.6454901598501105,0.7513935340022297,0.7256637168141592,0.8442056792018419,-6.411110775404194
